iter	Passed	Remaining
984	9476	144
985	9486	134
986	9495	125
987	9504	115
988	9513	105
989	9522	96
990	9532	86
991	9541	76
992	9551	67
993	9560	57
994	9569	48
995	9578	38
996	9588	28
997	9597	19
998	9606	9
999	9616	0
